TREATMENT,SUBJECT_NAME,APP_PACKAGE,RUN_NUMBER,STRATEGY_CLASS,DURATION,NUMBER_OF_URLS,NUMBER_OF_SELECTED_CHILDREN_NODES,NUMBER_OF_CHILDREN_NODES,STRATEGY_RUN_SUCCESSFULLY
nappagreedy,AntennaPod,de.danoeh.antennapod.debug,3,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",61042,0,0,0,True
nappagreedy,AntennaPod,de.danoeh.antennapod.debug,3,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",512708,1,1,4,True
nappagreedy,AntennaPod,de.danoeh.antennapod.debug,3,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",49635,0,0,0,True
nappagreedy,AntennaPod,de.danoeh.antennapod.debug,3,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",518802,1,1,4,True
nappagreedy,AntennaPod,de.danoeh.antennapod.debug,3,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",58594,0,0,0,True
nappagreedy,AntennaPod,de.danoeh.antennapod.debug,3,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",563750,1,1,4,True
nappagreedy,AntennaPod,de.danoeh.antennapod.debug,3,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",63698,0,0,0,True
nappagreedy,AntennaPod,de.danoeh.antennapod.debug,3,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",550886,1,1,4,True
nappagreedy,AntennaPod,de.danoeh.antennapod.debug,3,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",40990,0,0,0,True
nappagreedy,AntennaPod,de.danoeh.antennapod.debug,4,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",789427,0,1,4,True
nappagreedy,AntennaPod,de.danoeh.antennapod.debug,4,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",49271,0,0,0,True
nappagreedy,AntennaPod,de.danoeh.antennapod.debug,4,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",588021,1,1,4,True
nappagreedy,AntennaPod,de.danoeh.antennapod.debug,4,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",62708,0,0,0,True
nappagreedy,AntennaPod,de.danoeh.antennapod.debug,4,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",470573,1,1,4,True
nappagreedy,AntennaPod,de.danoeh.antennapod.debug,4,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",36354,0,0,0,True
nappagreedy,AntennaPod,de.danoeh.antennapod.debug,4,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",356094,1,1,4,True
