request_host,request_path,request_url,request_port,request_method,request_scheme,request_http_version,request_timestamp_start,request_timestamp_end,request_duration,request_header_user_agent,request_header_x_requested_with,response_size,response_http_version,response_status_code,response_reason,response_timestamp_start,response_timestamp_end,response_duration,response_header_date,response_header_content_length,response_header_content_type
ichef.bbci.co.uk,/images/ic/3000x3000/p07kfvzb.jpg,ichef.bbci.co.uk/images/ic/3000x3000/p07kfvzb.jpg,80,GET,http,HTTP/1.1,1596455604.74052,1596455604.7612054,0.020685434341430664,Dalvik/2.1.0 (Linux; U; Android 6.0; Nexus 6P Build/MDB08K),NA,589826,HTTP/1.1,200,OK,1595957669.2142298,1595957669.453351,0.2391211986541748,Mon; 03 Aug 2020 11:53:24 GMT,589826,image/jpeg
ichef.bbci.co.uk,/images/ic/3000x3000/p03gtk3j.jpg,ichef.bbci.co.uk/images/ic/3000x3000/p03gtk3j.jpg,80,GET,http,HTTP/1.1,1596455604.7619407,1596455604.803251,0.04131031036376953,Dalvik/2.1.0 (Linux; U; Android 6.0; Nexus 6P Build/MDB08K),NA,814284,HTTP/1.1,200,OK,1595957669.2278497,1595957669.5216403,0.2937905788421631,Mon; 03 Aug 2020 11:53:24 GMT,814284,image/jpeg
files.thisamericanlife.org,/sites/all/themes/thislife/img/tal-name-1400x1400.png,files.thisamericanlife.org/sites/all/themes/thislife/img/tal-name-1400x1400.png,443,GET,https,HTTP/1.1,1596455604.924779,1596455604.9272926,0.0025136470794677734,Dalvik/2.1.0 (Linux; U; Android 6.0; Nexus 6P Build/MDB08K),NA,52553,HTTP/1.1,200,OK,1595957669.5218809,1595957669.541002,0.019121170043945312,Mon; 03 Aug 2020 11:53:24 GMT,52553,image/png
pl.tedcdn.com,/rss_feed_images/ted_talks_main_podcast/video.png,pl.tedcdn.com/rss_feed_images/ted_talks_main_podcast/video.png,443,GET,https,HTTP/2.0,1596455605.012158,1596455605.1225767,0.11041879653930664,Dalvik/2.1.0 (Linux; U; Android 6.0; Nexus 6P Build/MDB08K),NA,89986,HTTP/2.0,200,NA,1595957669.6467414,1595957669.807679,0.16093754768371582,NA,NA,NA
elroy.twit.tv,/sites/default/files/styles/twit_album_art_2048x2048/public/images/shows/floss_weekly/album_art/audio/floss_albumart_mask.jpg?itok=IUjxKpwt,elroy.twit.tv/sites/default/files/styles/twit_album_art_2048x2048/public/images/shows/floss_weekly/album_art/audio/floss_albumart_mask.jpg?itok=IUjxKpwt,443,GET,https,HTTP/2.0,1596455605.0065134,1596455605.141927,0.13541364669799805,Dalvik/2.1.0 (Linux; U; Android 6.0; Nexus 6P Build/MDB08K),NA,297964,HTTP/2.0,200,NA,1595957669.6328611,1595957670.0293796,0.3965184688568115,NA,NA,NA
elroy.twit.tv,/sites/default/files/styles/twit_album_art_2048x2048/public/images/shows/this_week_in_tech/album_art/audio/twit1400audio.jpg?itok=J0vhatZb,elroy.twit.tv/sites/default/files/styles/twit_album_art_2048x2048/public/images/shows/this_week_in_tech/album_art/audio/twit1400audio.jpg?itok=J0vhatZb,443,GET,https,HTTP/2.0,1596455605.032162,1596455605.1422608,0.11009883880615234,Dalvik/2.1.0 (Linux; U; Android 6.0; Nexus 6P Build/MDB08K),NA,465707,HTTP/2.0,200,NA,1595957669.675157,1595957670.0272834,0.3521263599395752,NA,NA,NA
fab.industries,/sixgun/files/linuxoutlaws.jpg,fab.industries/sixgun/files/linuxoutlaws.jpg,443,GET,https,HTTP/2.0,1596455605.0653598,1596455605.1751244,0.10976457595825195,Dalvik/2.1.0 (Linux; U; Android 6.0; Nexus 6P Build/MDB08K),NA,1503,HTTP/2.0,404,NA,1595957670.3232534,1595957670.3395278,0.016274452209472656,NA,NA,NA
sixgun.org,/files/linuxoutlaws.jpg,sixgun.org/files/linuxoutlaws.jpg,80,GET,http,HTTP/1.1,1596455605.4671493,1596455605.4758122,0.008662939071655273,Dalvik/2.1.0 (Linux; U; Android 6.0; Nexus 6P Build/MDB08K),NA,87,HTTP/1.1,301,Moved Permanently,1595957669.9947023,1595957669.997743,0.0030405521392822266,Mon; 03 Aug 2020 11:53:24 GMT,87,text/html; charset=utf-8
fab.industries,/sixgun/files/linuxoutlaws.jpg,fab.industries/sixgun/files/linuxoutlaws.jpg,443,GET,https,HTTP/2.0,1596455605.5068474,1596455605.6105216,0.10367417335510254,Dalvik/2.1.0 (Linux; U; Android 6.0; Nexus 6P Build/MDB08K),NA,1503,HTTP/2.0,404,NA,1595957670.3232534,1595957670.3395278,0.016274452209472656,NA,NA,NA
feeds.feedburner.com,/linuxoutlaws,feeds.feedburner.com/linuxoutlaws,80,GET,http,HTTP/1.1,1596455610.7038093,1596455610.7136524,0.009843111038208008,AntennaPod/1.7.2b,NA,10919,HTTP/1.1,200,OK,1595957674.676556,1595957674.6978233,0.021267175674438477,Mon; 03 Aug 2020 11:53:30 GMT,NA,text/xml; charset=UTF-8
sixgun.org,/files/linuxoutlaws.jpg,sixgun.org/files/linuxoutlaws.jpg,80,GET,http,HTTP/1.1,1596455610.836505,1596455610.8389099,0.002404928207397461,Dalvik/2.1.0 (Linux; U; Android 6.0; Nexus 6P Build/MDB08K),NA,87,HTTP/1.1,301,Moved Permanently,1595957669.9947023,1595957669.997743,0.0030405521392822266,Mon; 03 Aug 2020 11:53:29 GMT,87,text/html; charset=utf-8
fab.industries,/sixgun/files/linuxoutlaws.jpg,fab.industries/sixgun/files/linuxoutlaws.jpg,443,GET,https,HTTP/2.0,1596455610.8680897,1596455610.9703462,0.10225653648376465,Dalvik/2.1.0 (Linux; U; Android 6.0; Nexus 6P Build/MDB08K),NA,1503,HTTP/2.0,404,NA,1595957670.3232534,1595957670.3395278,0.016274452209472656,NA,NA,NA
sixgun.org,/files/linuxoutlaws.jpg,sixgun.org/files/linuxoutlaws.jpg,80,GET,http,HTTP/1.1,1596455615.6614711,1596455615.675068,0.013596773147583008,Dalvik/2.1.0 (Linux; U; Android 6.0; Nexus 6P Build/MDB08K),NA,87,HTTP/1.1,301,Moved Permanently,1595957669.9947023,1595957669.997743,0.0030405521392822266,Mon; 03 Aug 2020 11:53:34 GMT,87,text/html; charset=utf-8
fab.industries,/sixgun/files/linuxoutlaws.jpg,fab.industries/sixgun/files/linuxoutlaws.jpg,443,GET,https,HTTP/2.0,1596455615.708474,1596455615.815556,0.10708212852478027,Dalvik/2.1.0 (Linux; U; Android 6.0; Nexus 6P Build/MDB08K),NA,1503,HTTP/2.0,404,NA,1595957670.3232534,1595957670.3395278,0.016274452209472656,NA,NA,NA
feeds.feedburner.com,/linuxoutlaws,feeds.feedburner.com/linuxoutlaws,80,GET,http,HTTP/1.1,1596455617.615983,1596455617.6216953,0.005712270736694336,AntennaPod/1.7.2b,NA,10919,HTTP/1.1,200,OK,1595957674.676556,1595957674.6978233,0.021267175674438477,Mon; 03 Aug 2020 11:53:36 GMT,NA,text/xml; charset=UTF-8
sixgun.org,/files/linuxoutlaws.jpg,sixgun.org/files/linuxoutlaws.jpg,80,GET,http,HTTP/1.1,1596455617.811809,1596455617.8241138,0.01230478286743164,Dalvik/2.1.0 (Linux; U; Android 6.0; Nexus 6P Build/MDB08K),NA,87,HTTP/1.1,301,Moved Permanently,1595957669.9947023,1595957669.997743,0.0030405521392822266,Mon; 03 Aug 2020 11:53:36 GMT,87,text/html; charset=utf-8
